Sponsor ID:,Name,Address,City,Phone,Website,3courses,examprep,hardcopy,professional appearance,underlying courseware
S0531,LAKEPOINTE LICENSING,P. O. BOX 685,"FOLSOM, CA 95763",(916) 370-7515,www.lakepointelic.com,180,280,,3,
S0099,DYNASTY SCHOOL,2373 SOUTH HACIENDA BOULEVARD,"HACIENDA HEIGHTS, CA 91745",(800) 888-8827,www.elicenseschool.com,185,274,275,3,
S0426,"TARBELL, REALTORS - REAL ESTATE LICENSING SCHOOL",1403 NORTH TUSTIN AVENUE,"SANTA ANA, CA 92705",(714) 972-0988#359,www.tarbellcareers.com,216,,,3,
S0370,AA REAL ESTATE SCHOOL,10505 VALLEY BLVD STE 304,"EL MONTE, CA 91731",(626) 443-1288,www.aarealestateschool.com,229,NA,,3,
S0621,ADVANCE ESTATE REALTY,14615 MAGNOLIA STREET,"WESTMINSTER, CA 92683",(714) 894-4306,www.adkuni.com,239,289,No,3,
S0629,QUICK LEARNING SCHOOL LLC,850 NORTH HILLVIEW DRIVE,"MILPITAS, CA 95035",(408) 453-8133,www.quicklearningschool.com,239,279,239,3,prou
S0088,COOK SCHOOL OF REAL ESTATE,4305 FREEPORT BOULEVARD,"SACRAMENTO, CA 95822",(916) 451-6702,www.cookrealty.net,260,,,3,prou
S0348,"ADHI SCHOOLS, LLC",9267 HAVEN AVENUE #210,"RANCHO CUCAMONGA, CA 91730",(888) 768-5285,www.adhischools.com,NA,NA,No,3,
S0417,THE REAL ESTATE CENTRE,"531 MAIN STREET, #935","EL SEGUNDO, CA 90245",(310) 410-9718,www.realestatecentre.biz,NA,,,3,
S0322,SAMUEL TONG SCHOOL,1016 JOHNSON AVENUE,"SAN JOSE, CA 95129",(408) 799-9588,www.tonghouse.com,NA,,,3,
S0252,USA SCHOOLS,P. O. BOX 963,"PLACERVILLE, CA 95667",(530) 919-3029,usareschools.com,NA,,,3,
S0391,"360TRAINING.COM, INC.",6801 N CAPITAL OF TEXAS HWY SUITE 150,"AUSTIN, TX 78731",(888) 360-8764,www.360training.com,89,131,,2,
S0627,247 REAL ESTATE LICENSE,"21151 S. WESTERN AVE., #143","TORRANCE, CA 90501",(888) 213-0013,247realestate-license.com,164.5,194.5,,2,
S0098,DUANE GOMER SEMINARS,23312 MADERO STREET #J,"MISSION VIEJO, CA 92691",(949) 457-8930,www.duanegomer.com,205,270,,2,
S0536,LEAL REAL ESTATE SCHOOL,347 1/2 THIRD AVENUE,"CHULA VISTA, CA 91910",(619) 585-0945,www.lealrealestate.com,300,,,2,
S0599,AFFINITY REAL ESTATE AND MORTGAGE TRAINING,"10900 E 183RD STREET, SUITE 285","CERRITOS, CA 90703",(562) 731-2321,www.affinityreservices.com,345,,,2,
S0614,"LAO & ASSOCIATES REAL ESTATE SERVICES, INC.","99 E. C STREET, SUITE 203 B","UPLAND, CA 91786",(909) 254-5600,www.lareschool.com,369,NA,NA,2,
S0106,EXECUTIVE PROGRAMS,P. O. BOX 5407,"OXNARD, CA 93031",(800) 416-1996,www.eprealestateschool.com,NA,,,2,executiveprograms
S0381,GOODVIEW FINANCIAL & REAL ESTATE,2350 MISSION COLLEGE BLVD. #242,"SANTA CLARA, CA 95054",(408) 988-1138,www.goodviewrealty.com,NA,,,2,
S0463,SABER REAL ESTATE SCHOOL,417 COLLEGE AVENUE,"PALO ALTO, CA 94306",(650) 321-8699,www.SaberRealEstateSchool.com,NA,,,2,firsttuesday
S0480,SHASTA ASSOCIATION OF REALTORS,840 REMOR STREET,"REDDING, CA 96002",(530) 223-0410,www.shastamls.com,NA,,,2,
S0439,AMERICANA,835 N. WESTERN AVE.,"LOS ANGELES, CA 90029",(323) 461-3926,www.americanacollege.com,100,,,1,
S0451,ACCELERATED REAL ESTATE SCHOOLS,P O BOX 2016,"RANCHO CORDOVA, CA 95741",(800) 721-0710,www.acceleratedschools.us,169,299,,1,
S0083,CLARE INSTITUTE,"5173 WARING ROAD, #14","SAN DIEGO, CA 92120",(619) 794-0055,www.clareinstitute.com,219,,,1,
S0522,ABC REAL ESTATE SCHOOL,"800 N. RAINBOW BLVD., STE. 208, OFF. 6","LAS VEGAS, NV 89107",(800) 977-8835,www.abcrealestateschool.com,249,NA,No,1,
S0545,999 INVESTMENTS AND REALTY COLLEGE,"17111 BEACH BOULEVARD, SUITE 206","HUNTINGTON BEACH, CA 92647",(714) 658-5435,www.999investmentsinc.com,NA,NA,No,1,
S0559,JLG TRAINING SERVICES,7948 N MAPLE AVE #116,"FRESNO, CA 93720",(559) 392-4592,jlgtrainingservices.com,NA,,,1,dearborn
S0408,REL: REAL ESTATE AND LOAN SCHOOL,3157 GAVOTA AVENUE,"SAN JOSE, CA 95124",(408) 264-1761,www.maryshoane.com,NA,,,1,
S0637,"REALTY SCHOOL 101, LLC",314 PARNELL CT,"WALNUT CREEK, CA 94597",(850) 567-0002,www.RealtySchool101.com,248,259,,,recampus
S0601,CA RE LICENSING,1540 E TRENTON AVE #57,"ORANGE, CA 92867",(800) 671-2276,www.carelicensing.com,299,,,,
S0297,"DESERT CITIES REAL ESTATE SCHOOL, INC.",74350 ALESSANDRO STE B-1,"PALM DESERT, CA 92260",(760) 346-5051,www.dcres.com,NA,,,,
S0623,"DIAMOND RESORTS REAL ESTATE ACADEMY, LLC",1580 METRO DRIVE SUITE 100,"COSTA MESA, CA 92626",(949) 922-1723,http://www.drireacademy.com/california,NA,,,,
S0108,FELDE PUBLICATIONS AND PROGRAMS,P.O. BOX 180762,1 CATSPAW CAPE,(619) 423-1059,www.feldepublishing.com,NA,,,,
S0345,GOGO REAL ESTATE SCHOOL,"1200 S. DIAMOND BAR BLVD, SUITE 200","DIAMOND BAR, CA 91765",(909) 861-1268,www.gogores.com,NA,,,,
S0555,IRN REALTY,"556 W. LAS TUNAS DRIVE, #103","ARCADIA, CA 91007",(626) 447-5100,irnrealty.com,NA,,,,
S0136,KOTAI REAL ESTATE SCHOOL,820 EAST MISSION ROAD,"SAN GABRIEL, CA 91776",(626) 237-2170,www.kotairealestateschool.com,NA,,,,
S0303,"LONDON PROPERTIES, LTD.",6442 N. MAROA AVENUE,"FRESNO, CA 93704",(559) 436-4000,www.tiore.com,NA,,,,
S0169,NEW STAR REAL ESTATE SCHOOL,6071 BEACH BLVD,"BUENA PARK, CA 90621",(714) 994-3377,www.newstarschool.org,NA,,,,
S0600,ONLINE LICENSE PROS,1 CATSPAW CAPE,"CORONADO, CA 92178",(619) 573-0555,onlinelicensepros.com,NA,,,,
S0645,REAL ESTATE EDUCATIONAL SERVICES,3643 ADAMS ST.,"CARLSBAD, CA 92008",(760) 458-6028,www.reesca.com,NA,,,,
S0199,REAL ESTATE LICENSE SERVICES,"5059 NEWPORT AVENUE, STE 209","SAN DIEGO, CA 92107",(619) 222-2425,www.relstoneexams.com,NA,,,,
S0406,RIO HONDO COLLEGE COMMUNITY SERVICES,3600 WORKMAN MILL ROAD,"WHITTIER, CA 90601",(562) 908-3469,www.riohondo.edu,NA,,,,
S0344,RON ALLEN SCHOOL OF REAL ESTATE,P. O. BOX 5062,"SACRAMENTO, CA 95817",(916) 912-0835,http://ronallencollege.org,NA,,,,
S0592,SCHOOL OF REAL ESTATE,"1625 SWEETWATER ROAD, SUITE A","NATIONAL CITY, CA 91950",(619) 791-1000,http://www.ca-res.com/SchoolOfRealEstate,NA,,,,
S0580,168 REAL ESTATE SCHOOL,"18725 E. GALE AVE., SUITE 100","CITY OF INDUSTRY, CA 91748",(626) 965-7788,,,,,,
S0500,2000 REAL ESTATE SCHOOL,17843 COLIMA ROAD,"CITY OF INDUSTRY, CA 91748",(626) 964-8999,,,,,,
S0520,ACADEMY OF REAL ESTATE ARTS AND SCIENCES,2230 QUIMBY ROAD,"SAN JOSE, CA 95122",(408) 528-7800ext. 223,,,,,,
S0438,ACTIVE REAL ESTATE SCHOOL,"2501 CHERRY AVE, SUITE #100","SIGNAL HILL, CA 90755",(562) 760-4408,,,,,,
S0581,ALIATHUS REAL ESTATE TRAINING,P. O. BOX 804,"LAWNDALE, CA 90260-0804",(424) 236-3656,,,,,,
S0035,AMERISTAR REAL ESTATE SCHOOL,P.O. BOX 1143,"SAN GABRIEL, CA 91778",(415) 681-6188,ameristarschool.com,,,,,
S0587,APPROVED REAL ESTATE ACADEMY,P. O. BOX 4163,"TUSTIN, CA 92781",(714) 875-0979,,,,,,
S0564,AURIC REALTY ACADEMY,19095 COLIMA ROAD,"ROWLAND HEIGHTS, CA 91748",(626) 965-8838,,,,,,
S0553,BRIGHT FUTURE REAL ESTATE SCHOOL,3550 WILSHIRE BLVD. # 310,"LOS ANGELES, CA 90010",(213) 380-8949,,,,,,
S0459,CAL COAST SCHOOL,"16911 BELLFLOWER BOULEVARD, SUITE 210","BELLFLOWER, CA 90706",(800) 317-5318,,,,,,
S0513,CALIFORNIA STATE REAL ESTATE SCHOOL,515 W. WHITTIER BLVD,"MONTEBELLO, CA 90640",(866) 473-6452,,,,,,
S0535,D H REAL ESTATE SCHOOL,"3781 WILSHIRE BLVD., #2010","LOS ANGELES, CA 90010",(213) 999-2545,,,,,,
S0327,"GLEN PROPERTY, INC.","3333 WILSHIRE BOULEVARD, #504","LOS ANGELES, CA 90010",(213) 385-8808,,,,,,
S0120,GOLD COAST SCHOOLS,"13891 NEWPORT AVE., #260","TUSTIN, CA 92780",(949) 477-2070,,,,,,
S0568,GOLDEN REAL ESTATE SCHOOL,"8456 SIERRA AVENUE, SUITE #107","FONTANA, CA 92335",(909) 434-2816,,,,,,
S0588,HOME & INVESTMENT INC,11600 PARAMOUNT BLVD STE A,"DOWNEY, CA 90241",(562) 923-5507,century21homeandinvestment.com,,,,,dearborn
S0554,KOOPS REAL ESTATE SOLUTIONS,"402 SOUTH MILLIKEN AVENUE, SUITE C","ONTARIO, CA 91761",(951) 893-7972,,,,,,
S0557,LANDPAC REALTY SCHOOL,"987 S. VERMONT AVE., STE. H","LOS ANGELES, CA 90006",(213) 388-5155,,,,,,
S0565,LILLIE SCHOOL INSTITUTE OF REAL ESTATE ACHIEVERS,P. O. BOX 251617,"GLENDALE, CA 91225",(323) 533-8584,,,,,,
S0594,"NATIONAL REAL ESTATE INSTITUTE, INC.","886 WEST 9TH STREET, UNIT 16","SAN PEDRO, CA 90731",(323) 345-2404,,,,,,
S0418,NOWLICENSEME.COM,17139 VAN GOGH ST,"GRANADA HILLS, CA 91344",(818) 400-4412,,,,,,
S0563,ONE STOP REALTY AND FINANCIAL SERVICES,14351 EUCLID ST. STE 1S,"GARDEN GROVE, CA 92843",(714) 486-2299,,,,,,
S0628,PACIFIC REAL ESTATE SCHOOL LLC,3650 EAST FLAMINGO,"LAS VEGAS, NV 89121",(702) 313-7000,,,,,,
S0295,Q & A REAL ESTATE INSTITUTE,16549 BROOKHURST STREET,"FOUNTAIN VALLEY, CA 92708",(714) 595-1789,,,,,,
S0626,REAL ESTATE HOME STUDY SERVICES,4228 LOBOS ROAD,"WOODLAND HILLS, CA 91364",(818) 716-1027,,,,,,
S0198,REAL ESTATE INSTITUTE USA,"15751 BROOKHURST STREET, #230","WESTMINSTER, CA 92683",(323) 775-1909,,,,,,
S0615,REAL ESTATE U ONLINE LLC,"32-22 43RD STREET, APT#2","ASTORIA, NY 11103",(718) 440-4142,,,,,,
S0595,RE/MAX MEGA REAL ESTATE SCHOOL,4465 WILSHIRE BLVD #201,"LOS ANGELES, CA 90010",(323) 692-9900,,,,,,
S0608,RG REALTY,17890 CASTLETON ST UNIT 368,"CITY OF INDUSTRY, CA 91748",(626) 363-4839,,,,,,
S0605,SUCHITA REAL ESTATE SCHOOL,668 B EL CAMINO REAL,"TUSTIN, CA 92780",() -,,,,,,
S0602,UC IRVINE EXTENSION,510 E PELTASON DR,"IRVINE, CA 92697",(949) 824-5524,,,,,,
S0351,URI REAL ESTATE SCHOOL,"3400 ELCAMINO REAL, #6","SANTA CLARA, CA 95051",(408) 985-2288,,,,,,
